id,chapbook,page,IIIF_link,title,date,publisher,publication_place
grabado_v_406_3,Varios_406,Varios_406_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_406_1.jpg/1119,348,510,985/full/0/default.jpg",Trobos nuevos amorosos y elegantes,1864,Narciso Roca,Reus
grabado_v_092_3,Varios_092,Varios_092_3.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_092_3.jpg/1256,146,412,965/full/0/default.jpg",Carta amorosa que escribe un amante á su querida,1882,Imprenta Española,Reus
grabado_m_185_2,Moreno_185,Moreno_185_2.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8107313/130,246,1695,2363/full/0/default.jpg",Las siete palabras que habló Nuestro señor Jesucristo y el decendimiento de la cruz,1856,José María Moreno,Carmona (Sevilla)
grabado_v_135_1,Varios_135,Varios_135_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_135_1.jpg/377,192,963,953/full/0/default.jpg",Villancicos alegres para cantar en seguidilla,[s.a.],Hernando,Madrid
grabado_m_279_2,Moreno_279,Moreno_279_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8104125/639,453,372,671/full/0/default.jpg",Relación burlesca intitulada Suceso de la pulga,1858,José María Moreno,Carmona (Sevilla)
grabado_v_170_1,Varios_170,Varios_170_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_170_1.jpg/100,100,680,660/full/0/default.jpg",Doña Josefa Ramirez,[s.a.],Juan García,Córdoba
grabado_v_113_2,Varios_113,Varios_113_2.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_113_2.jpg/661,283,1012,778/full/0/default.jpg",La insurrección en Cuba,[s.a.],El Abanico,Barcelona
grabado_m_201_2,Moreno_201,Moreno_201_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8105882/994,431,532,698/full/0/default.jpg",El milagro de san Antonio del doblón,1854,José María Moreno,Carmona (Sevilla)
grabado_v_108_1,Varios_108,Varios_108_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_108_1.jpg/886,364,425,748/full/0/default.jpg","Coplas nuevas glosadas en decimas, para cantar los aficionados",[s.a.],Laborda,Sevilla
grabado_m_262_1,Moreno_262,Moreno_262_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8104587/392,388,439,754/full/0/default.jpg",Nueva relación del torero andaluz,[s.a.],José María Moreno,Carmona (Sevilla)
grabado_m_227_1,Moreno_227,Moreno_227_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8104661/740,273,394,813/full/0/default.jpg",Nueva relación jocosa del patán de Sevilla,1858,José María Moreno,Carmona (Sevilla)
grabado_b_048_2,BCN_048,BCN_048_1.jpg,"https://iiif.unige.ch/iiif/2/varios/BCN_048_1.jpg/1003,147,450,600/full/0/default.jpg","Romance nuevo, y curioso, en que se refieren y declaran las quejas y lamentos de un amante",[s.a.],Herederos de la Viuda Pla,Barcelona
grabado_v_209_1,Varios_209,Varios_209_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_209_1.jpg/78,315,665,1067/full/0/default.jpg",Trovos nuevos para cantarse con guitarra el cuatro y el tres,[s.a.],El Abanico,Barcelona
grabado_m_163_1,Moreno_163,Moreno_163_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8110102/385,311,1033,936/full/0/default.jpg",Desposorios del señor san José,1857,José María Moreno,Carmona (Sevilla)
grabado_m_126_1,Moreno_126,Moreno_126_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8110054/567,282,414,919/full/0/default.jpg",La divina Peregrina,[s.a.],José María Moreno,Carmona (Sevilla)
grabado_v_439_1,Varios_439,Varios_439_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_439_1.jpg/382,183,836,1119/full/0/default.jpg",El anillo de Zafira leyenda francesa del tiempo de Carlo-Magno,[s.a.],Hernando,Madrid
grabado_v_332_2,Varios_332,Varios_332_3.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_332_3.jpg/442,74,954,833/full/0/default.jpg",El nuevo tango americano,[s.a.],José Tauló,Barcelona
grabado_v_377_2,Varios_377,Varios_377_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_377_1.jpg/379,449,497,889/full/0/default.jpg",Coplas nuevas glosadas en decimas para cantar los aficionados.,1853,José María Marés,Madrid
grabado_v_351_1,Varios_351,Varios_351_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_351_1.jpg/151,164,1481,1263/full/0/default.jpg",Margarita de Borgoña,[s.a.],El Abanico,Barcelona
grabado_m_058_2,Moreno_058,Moreno_058_3.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8103556/458,226,1015,1243/full/0/default.jpg",El santísimo Cristo de Zalamea,1859,José María Moreno,Carmona (Sevilla)
grabado_v_314_1,Varios_314,Varios_314_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_314_1.jpg/211,266,1436,986/full/0/default.jpg",La desgraciada Rosaura,[s.a.],El Abanico,Barcelona
grabado_m_083_1,Moreno_083,Moreno_083_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8105101/512,297,677,693/full/0/default.jpg",Juan de Prados o el chasco del arriero,1865,José María Moreno,Carmona (Sevilla)
grabado_v_033_2,Varios_033,Varios_033_3.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_033_3.jpg/455,57,851,1151/full/0/default.jpg",El cantor de las hermosas,[s.a.],Narciso Ramírez,Barcelona
grabado_v_076_2,Varios_076,Varios_076_2.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_076_2.jpg/335,985,921,727/full/0/default.jpg",Las tres canciones nuevas,[s.a.],Juan Bautista Vidal,Reus
grabado_v_050_1,Varios_050,Varios_050_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_050_1.jpg/87,175,1525,1172/full/0/default.jpg",Canciones de la vuelta al mundo,[s.a.],Sucesores de A. Bosch,Barcelona
grabado_v_015_1,Varios_015,Varios_015_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_015_1.jpg/563,190,770,591/full/0/default.jpg",Bonito tango dedicado al difunto Brigadier Villacampa,[s.a.],El Abanico,Barcelona
grabado_v_268_1,Varios_268,Varios_268_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_268_1.jpg/342,254,945,699/full/0/default.jpg",Las tres canciones nuevas,[s.a.],Hijos de Domenech,Barcelona
grabado_v_131_4,Varios_131,Varios_131_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_131_1.jpg/867,280,346,711/full/0/default.jpg",Satira burlesca,1849,José María Marés,Madrid
grabado_m_147_1,Moreno_147,Moreno_147_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8103678/314,265,486,762/full/0/default.jpg",Ave María. El triunfo del Ave María o Garcilaso de la Vega y el Moro Tarfe,1857,José María Moreno,Carmona (Sevilla)
grabado_m_102_1,Moreno_102,Moreno_102_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8106040/189,591,447,729/full/0/default.jpg",La doncella condenada. Nueva relación,1859,José María Moreno,Carmona (Sevilla)
grabado_v_194_1,Varios_194,Varios_194_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_194_1.jpg/1089,438,461,988/full/0/default.jpg",Coplas nuevas y divertidas,[s.a.],Tosquellas y Zamora,Reus
grabado_v_169_1,Varios_169,Varios_169_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_169_1.jpg/850,350,600,700/full/0/default.jpg",Decimas nuevas,[s.a.],J. B. Campoy,Lorca
grabado_m_260_2,Moreno_260,Moreno_260_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8107584/952,322,438,854/full/0/default.jpg",Joselillo el Gitano,1859,José María Moreno,Carmona (Sevilla)
grabado_m_246_1,Moreno_246,Moreno_246_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8105867/466,386,670,665/full/0/default.jpg",Canción del rosero,1859,José María Moreno,Carmona (Sevilla)
grabado_m_203_1,Moreno_203,Moreno_203_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8107662/634,219,555,755/full/0/default.jpg",Décimas andaluzas para cantar los aficionados,1856,José María Moreno,Carmona (Sevilla)
grabado_v_295_1,Varios_295,Varios_295_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_295_1.jpg/0,558,1752,1211/full/0/default.jpg",El cantor de las hermosas,1862,Narciso Ramírez,Barcelona
grabado_m_338_2,Moreno_338,Moreno_338_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8107922/256,605,469,647/full/0/default.jpg","Décimas trovadas, que cantan al valiente ejército español",[s.a.],José María Moreno,Carmona (Sevilla)
grabado_v_074_1,Varios_074,Varios_074_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_074_1.jpg/87,112,1574,1187/full/0/default.jpg",Las faltas de los hombres,[s.a.],El Abanico,Barcelona
grabado_v_031_1,Varios_031,Varios_031_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_031_1.jpg/0,324,816,605/full/0/default.jpg",El cantor de las hermosas,[s.a.],Narciso Ramírez,Barcelona
grabado_m_081_2,Moreno_081,Moreno_081_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8106787/842,337,411,609/full/0/default.jpg",La confesión de una niña,1855,José María Moreno,Carmona (Sevilla)
grabado_b_048_3,BCN_048,BCN_048_1.jpg,"https://iiif.unige.ch/iiif/2/varios/BCN_048_1.jpg/88,81,450,650/full/0/default.jpg","Romance nuevo, y curioso, en que se refieren y declaran las quejas y lamentos de un amante",[s.a.],Herederos de la Viuda Pla,Barcelona
grabado_v_388_1,Varios_388,Varios_388_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_388_1.jpg/331,428,935,786/full/0/default.jpg",Curiosa relacion,[s.a.],Vidal Arrabal,Reus
grabado_v_353_2,Varios_353,Varios_353_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_353_1.jpg/868,355,645,916/full/0/default.jpg",El hambriento burlado,[s.a.],[s.n.],[s.l.]
grabado_v_375_1,Varios_375,Varios_375_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_375_1.jpg/299,500,367,651/full/0/default.jpg","Satira jocosa de los nombres, costumbres y propiedades de las senoras mujeres",[s.a.],Sucesores de Hernando,Madrid
grabado_v_330_1,Varios_330,Varios_330_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_330_1.jpg/57,99,1520,1257/full/0/default.jpg",Isabel la Católica,[s.a.],Llorens,Barcelona
grabado_v_089_1,Varios_089,Varios_089_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_089_1.jpg/101,306,458,675/full/0/default.jpg",Satira nueva,1842,Ildefonso Mompié de Montegudo,Valencia
grabado_v_458_1,Varios_458,Varios_458_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_458_1.jpg/574,137,552,639/full/0/default.jpg",Trovos y glosas discretas,[s.a.],[s.n.],[s.l.]
grabado_m_022_1,Moreno_022,Moreno_022_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8104162/523,448,346,701/full/0/default.jpg",Relación del desprecio bien vengado,1857,José María Moreno,Carmona (Sevilla)
grabado_v_113_3,Varios_113,Varios_113_4.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_113_4.jpg/1286,269,426,871/full/0/default.jpg",La insurrección en Cuba,[s.a.],El Abanico,Barcelona
grabado_m_067_1,Moreno_067,Moreno_067_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8106059/393,180,469,879/full/0/default.jpg","Sátira nueva, graciosa y entretenida en que se declara el casamiento que hizo Francisquito",1860,José María Moreno,Carmona (Sevilla)
grabado_m_279_3,Moreno_279,Moreno_279_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8104125/1067,422,454,713/full/0/default.jpg",Relación burlesca intitulada Suceso de la pulga,1858,José María Moreno,Carmona (Sevilla)
grabado_m_041_2,Moreno_041,Moreno_041_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8107453/973,353,415,783/full/0/default.jpg","El nunca bien ponderado, célebre cual no otro, y alegre como cualquiera, casamiento de Juan Pindajo con María Curiana",1855,José María Moreno,Carmona (Sevilla)
grabado_v_348_1,Varios_348,Varios_348_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_348_1.jpg/201,324,1331,987/full/0/default.jpg",Testamento de un gallo,1857,José María Marés,Madrid
grabado_v_465_1,Varios_465,Varios_465_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_465_1.jpg/177,235,1496,1094/full/0/default.jpg",D. Juan de Serrallonga,[s.a.],El Abanico,Barcelona
grabado_v_420_1,Varios_420,Varios_420_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_420_1.jpg/197,807,1420,1271/full/0/default.jpg",El cantor de las hermosas,[s.a.],Tipografía Española,Barcelona
grabado_v_406_2,Varios_406,Varios_406_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_406_1.jpg/593,395,536,907/full/0/default.jpg",Trobos nuevos amorosos y elegantes,1864,Narciso Roca,Reus
grabado_v_092_2,Varios_092,Varios_092_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_092_1.jpg/336,198,1195,853/full/0/default.jpg",Carta amorosa que escribe un amante á su querida,1882,Imprenta Española,Reus
grabado_m_323_1,Moreno_323,Moreno_323_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8103674/177,208,434,738/full/0/default.jpg",Coplas de seguidillas,1861,José María Moreno,Carmona (Sevilla)
grabado_m_366_1,Moreno_366,Moreno_366_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8110138/328,266,475,703/full/0/default.jpg",El baratero,[s.a.],José María Moreno,Carmona (Sevilla)
grabado_m_340_2,Moreno_340,Moreno_340_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8110127/922,351,444,769/full/0/default.jpg",Papel nuevo para representar,[s.a.],José María Moreno,Carmona (Sevilla)
grabado_v_049_1,Varios_049,Varios_049_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_049_1.jpg/87,131,1639,1190/full/0/default.jpg",Polka el pilé,[s.a.],Imprenta Peninsular,Barcelona
grabado_b_030_3,BCN_030,BCN_030_1.jpg,"https://iiif.unige.ch/iiif/2/varios/BCN_030_1.jpg/1127,96,270,650/full/0/default.jpg",La muerte de don rodrigo calderon,[s.a.],Herederos de la Viuda Pla,Barcelona
grabado_v_393_2,Varios_393,Varios_393_5.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_393_5.jpg/636,283,470,574/full/0/default.jpg",El contador espiritual,[s.a.],José María Marés,Madrid
grabado_v_111_1,Varios_111,Varios_111_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_111_1.jpg/325,407,1524,1217/full/0/default.jpg",Himno de la guerra de Cuba,[s.a.],José Clara,Barcelona
grabado_m_218_2,Moreno_218,Moreno_218_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8110076/3,251,1476,2336/full/0/default.jpg",Místicas décimas por el padre fray Diego de Cádiz,1856,José María Moreno,Carmona (Sevilla)
grabado_v_154_1,Varios_154,Varios_154_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_154_1.jpg/228,499,446,673/full/0/default.jpg",Decimas glosadas para cantar los aficionados,[s.a.],Manuel Piles y Castro,Russafa
grabado_m_187_1,Moreno_187,Moreno_187_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8104545/417,244,466,756/full/0/default.jpg",Carlo Magno,1856,José María Moreno,Carmona (Sevilla)
grabado_v_422_3,Varios_422,Varios_422_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_422_1.jpg/1185,730,443,999/full/0/default.jpg",El cantor de las hermosas,1881,Narciso Ramírez,Barcelona
grabado_v_210_1,Varios_210,Varios_210_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_210_1.jpg/482,233,873,1074/full/0/default.jpg",Maria y Conrado celos y venganza,[s.a.],La Catalana,Barcelona
grabado_v_255_1,Varios_255,Varios_255_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_255_1.jpg/52,341,577,971/full/0/default.jpg",Sátira nueva,[s.a.],[s.n.],[s.l.]
grabado_m_119_2,Moreno_119,Moreno_119_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8108755/650,402,449,627/full/0/default.jpg","Colección de coplas nuevas de Fandango, Malagueñas y Rondeñas",[s.a.],José María Moreno,Carmona (Sevilla)
grabado_m_321_3,Moreno_321,Moreno_321_5.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8107047/1059,198,558,783/full/0/default.jpg",Don Pedro Juan de la Rosa y Doña María de Bargas,1859,José María Moreno,Carmona (Sevilla)
grabado_v_273_2,Varios_273,Varios_273_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_273_1.jpg/635,218,623,492/full/0/default.jpg",Trovos del pájaro,[s.a.],Juan Grau,Reus
grabado_m_286_1,Moreno_286,Moreno_286_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8108124/484,295,321,753/full/0/default.jpg",Trovos nuevos y divertidos para obsequiar un fino amante a su bella dama,1856,José María Moreno,Carmona (Sevilla)
grabado_b_032_1,BCN_032,BCN_032_1.jpg,"https://iiif.unige.ch/iiif/2/varios/BCN_032_1.jpg/251,172,430,710/full/0/default.jpg",Nueva relacion y curioso romance,[s.a.],Herederos de la Viuda Pla,Barcelona
grabado_b_014_2,BCN_014,BCN_014_1.jpg,"https://iiif.unige.ch/iiif/2/varios/BCN_014_1.jpg/877,241,720,600/full/0/default.jpg",Romance nuevo,[s.a.],Herederos de Juan Jolis,Barcelona
grabado_b_032_3,BCN_032,BCN_032_1.jpg,"https://iiif.unige.ch/iiif/2/varios/BCN_032_1.jpg/674,219,320,670/full/0/default.jpg",Nueva relacion y curioso romance,[s.a.],Herederos de la Viuda Pla,Barcelona
grabado_m_098_1,Moreno_098,Moreno_098_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8107898/783,1523,308,310/full/0/default.jpg",Sainete nuevo titulado El cuarto de la viuda,1850,José María Moreno,Carmona (Sevilla)
grabado_v_391_2,Varios_391,Varios_391_3.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_391_3.jpg/110,159,1570,1106/full/0/default.jpg",Canciones de la Marsellesa,[s.a.],Tipografía Española,Barcelona
grabado_m_321_1,Moreno_321,Moreno_321_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8107156/482,284,428,860/full/0/default.jpg",Don Pedro Juan de la Rosa y Doña María de Bargas,1859,José María Moreno,Carmona (Sevilla)
grabado_m_364_1,Moreno_364,Moreno_364_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8108906/573,260,520,739/full/0/default.jpg",Relación nueva de Caramba que no me caso,[s.a.],José María Moreno,Carmona (Sevilla)
grabado_m_342_2,Moreno_342,Moreno_342_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8109828/879,230,464,690/full/0/default.jpg",Pregunta que hace un curioso a su amigo aventurero,[s.a.],José María Moreno,Carmona (Sevilla)
grabado_v_467_1,Varios_467,Varios_467_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_467_1.jpg/175,1018,1153,927/full/0/default.jpg",Saynete intitulat divorsi den Saldoni y la Margarida,[s.a.],El Abanico,Barcelona
grabado_v_422_1,Varios_422,Varios_422_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_422_1.jpg/0,644,421,998/full/0/default.jpg",El cantor de las hermosas,1881,Narciso Ramírez,Barcelona
grabado_v_090_2,Varios_090,Varios_090_3.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_090_3.jpg/595,223,458,924/full/0/default.jpg",Las tres canciones,1870,Tipografía Española,Barcelona
grabado_m_020_1,Moreno_020,Moreno_020_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8109059/235,369,1407,775/full/0/default.jpg",Doña Josefa Ramírez,1859,José María Moreno,Carmona (Sevilla)
grabado_v_329_2,Varios_329,Varios_329_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_329_1.jpg/648,172,824,836/full/0/default.jpg",Hechos gloriosos de nuestro ejército en los campos de africa,1859,José María Marés,Madrid
grabado_m_065_1,Moreno_065,Moreno_065_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8107770/114,154,1415,703/full/0/default.jpg",La renegada de Valladolid,[s.a.],José María Moreno,Carmona (Sevilla)
grabado_m_043_2,Moreno_043,Moreno_043_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8110211/1066,228,415,869/full/0/default.jpg",Décimas glosadas,[s.a.],José María Moreno,Carmona (Sevilla)
grabado_m_284_1,Moreno_284,Moreno_284_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8109658/315,395,1075,1490/full/0/default.jpg",El jardín engañoso,1859,José María Moreno,Carmona (Sevilla)
grabado_m_198_4,Moreno_198,Moreno_198_5.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8104923/256,210,1450,274/full/0/default.jpg",Pasillo de Diego Corriente,1859,José María Moreno,Carmona (Sevilla)
grabado_b_030_1,BCN_030,BCN_030_1.jpg,"https://iiif.unige.ch/iiif/2/varios/BCN_030_1.jpg/129,25,480,710/full/0/default.jpg",La muerte de Don Rodrigo Calderon,[s.a.],Herederos de la Viuda Pla,Barcelona
grabado_b_016_2,BCN_016,BCN_016_1.jpg,"https://iiif.unige.ch/iiif/2/varios/BCN_016_1.jpg/975,188,620,500/full/0/default.jpg","Nuevo, y curioso romance",[s.a.],Herederos de Juan Jolis,Barcelona
grabado_v_212_1,Varios_212,Varios_212_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_212_1.jpg/257,184,1182,1319/full/0/default.jpg",Vida y martirio de los gloriosos San Cipriano y Santa Justina,[s.a.],El Abanico,Barcelona
grabado_v_257_1,Varios_257,Varios_257_1.jpg,"https://iiif.unige.ch/iiif/2/varios/Varios_257_1.jpg/393,144,423,603/full/0/default.jpg",El sepulcro ó lo que puede el amor,[s.a.],El Abanico,Barcelona
grabado_m_323_3,Moreno_323,Moreno_323_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8103674/1053,211,485,711/full/0/default.jpg",Coplas de seguidillas,1861,José María Moreno,Carmona (Sevilla)
grabado_m_178_1,Moreno_178,Moreno_178_1.jpg,"https://iiif.unige.ch/iiif/2/fedora_ug8106115/639,350,361,840/full/0/default.jpg",Pasillo del capitán Cascada y el licenciado Torrejón,1856,José María Moreno,Carmona (Sevilla)
