Column number;id_doc;original_name;normalized_name;latitude;longitude;id_wkd;type_place;longTitle;shortTitle;pubPlace;printer;date;type_text;genre;url
11;Ner_BCN_001;Portugal;Portugal;38,7;-9,183333333;Q45;Países/reinos/imperios/continentes;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
12;Ner_BCN_001;España;España;40,2;-3,5;Q29;Países/reinos/imperios/continentes;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
13;Ner_BCN_001;Portugal;Portugal;38,7;-9,183333333;Q45;Países/reinos/imperios/continentes;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
14;Ner_BCN_001;Portugal;Portugal;38,7;-9,183333333;Q45;Países/reinos/imperios/continentes;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
15;Ner_BCN_001;Navarra;Navarra;42,81666667;-1,65;Q4018;Pueblos/ciudades/regiones;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
16;Ner_BCN_001;Portugal;Portugal;38,7;-9,183333333;Q45;Países/reinos/imperios/continentes;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
17;Ner_BCN_001;Lisboa;Lisboa;38,708042;-9,139016;Q597;Pueblos/ciudades/regiones;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
18;Ner_BCN_001;Coimbra;Coímbra;40,21111111;-8,428888889;Q45412;Pueblos/ciudades/regiones;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
19;Ner_BCN_001;Coimbra;Coímbra;40,21111111;-8,428888889;Q45412;Pueblos/ciudades/regiones;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
20;Ner_BCN_001;Alcobazas;Monasterio de Alcobaça;39,54833333;-8,98;Q593147;Monumentos/edificios;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
21;Ner_BCN_001;Navarra;Navarra;42,81666667;-1,65;Q4018;Pueblos/ciudades/regiones;Curiosa xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro, llamada la Garza de Portugal. Y las Megestuosas Exequias con que la honró, despues de su muerte, el Rey Don Pedro de Portugal, con otras particularidades que verá el curioso Letor;Curiosa Xacara nueva, en que refiere la vida, y lastimosa muerte de Doña Inés de Castro;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_001.xml
22;Ner_BCN_002;Sevilla;Sevilla;37,38333333;-5,983333333;Q8717;Pueblos/ciudades/regiones;Xacara nueva, en que se refiere, y da cuenta de veinte muertes que una Doncella llamada Doña Teresa de Llanos, natural de la Ciudad de Sevilla, siendo las primeras a dos hermanos suyos, por averle estorvado el casarse. Y tambien se declara como se vistió de hombre, y fué presa, y sentenciada a muerte, y se vió libre por averse descubierto que era muger y el dichoso fin que tuvo;Xacara nueva;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_002.xml
23;Ner_BCN_002;Sevilla;Sevilla;37,38333333;-5,983333333;Q8717;Pueblos/ciudades/regiones;Xacara nueva, en que se refiere, y da cuenta de veinte muertes que una Doncella llamada Doña Teresa de Llanos, natural de la Ciudad de Sevilla, siendo las primeras a dos hermanos suyos, por averle estorvado el casarse. Y tambien se declara como se vistió de hombre, y fué presa, y sentenciada a muerte, y se vió libre por averse descubierto que era muger y el dichoso fin que tuvo;Xacara nueva;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_002.xml
24;Ner_BCN_002;Cuenca;Cuenca;40,07166667;-2,135;Q15098;Pueblos/ciudades/regiones;Xacara nueva, en que se refiere, y da cuenta de veinte muertes que una Doncella llamada Doña Teresa de Llanos, natural de la Ciudad de Sevilla, siendo las primeras a dos hermanos suyos, por averle estorvado el casarse. Y tambien se declara como se vistió de hombre, y fué presa, y sentenciada a muerte, y se vió libre por averse descubierto que era muger y el dichoso fin que tuvo;Xacara nueva;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_002.xml
25;Ner_BCN_002;Barcelona;Barcelona;41,3825;2,176944444;Q1492;Pueblos/ciudades/regiones;Xacara nueva, en que se refiere, y da cuenta de veinte muertes que una Doncella llamada Doña Teresa de Llanos, natural de la Ciudad de Sevilla, siendo las primeras a dos hermanos suyos, por averle estorvado el casarse. Y tambien se declara como se vistió de hombre, y fué presa, y sentenciada a muerte, y se vió libre por averse descubierto que era muger y el dichoso fin que tuvo;Xacara nueva;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_002.xml
26;Ner_BCN_002;Genova;Génova;44,40718611;8,933983333;Q1449;Pueblos/ciudades/regiones;Xacara nueva, en que se refiere, y da cuenta de veinte muertes que una Doncella llamada Doña Teresa de Llanos, natural de la Ciudad de Sevilla, siendo las primeras a dos hermanos suyos, por averle estorvado el casarse. Y tambien se declara como se vistió de hombre, y fué presa, y sentenciada a muerte, y se vió libre por averse descubierto que era muger y el dichoso fin que tuvo;Xacara nueva;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_002.xml
27;Ner_BCN_002;Gibraltar;Gibraltar;36,14;-5,35;Q1410;Pueblos/ciudades/regiones;Xacara nueva, en que se refiere, y da cuenta de veinte muertes que una Doncella llamada Doña Teresa de Llanos, natural de la Ciudad de Sevilla, siendo las primeras a dos hermanos suyos, por averle estorvado el casarse. Y tambien se declara como se vistió de hombre, y fué presa, y sentenciada a muerte, y se vió libre por averse descubierto que era muger y el dichoso fin que tuvo;Xacara nueva;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_002.xml
28;Ner_BCN_002;Madrid;Madrid;40,41694444;-3,703333333;Q2807;Pueblos/ciudades/regiones;Xacara nueva, en que se refiere, y da cuenta de veinte muertes que una Doncella llamada Doña Teresa de Llanos, natural de la Ciudad de Sevilla, siendo las primeras a dos hermanos suyos, por averle estorvado el casarse. Y tambien se declara como se vistió de hombre, y fué presa, y sentenciada a muerte, y se vió libre por averse descubierto que era muger y el dichoso fin que tuvo;Xacara nueva;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_002.xml
29;Ner_BCN_002;Andujar;Andújar;38,0392362;-4,0505603;Q528530;Pueblos/ciudades/regiones;Xacara nueva, en que se refiere, y da cuenta de veinte muertes que una Doncella llamada Doña Teresa de Llanos, natural de la Ciudad de Sevilla, siendo las primeras a dos hermanos suyos, por averle estorvado el casarse. Y tambien se declara como se vistió de hombre, y fué presa, y sentenciada a muerte, y se vió libre por averse descubierto que era muger y el dichoso fin que tuvo;Xacara nueva;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_002.xml
30;Ner_BCN_002;Sierra Morena;Sierra Morena;38,3;-5,4;Q686362;Sitios naturales;Xacara nueva, en que se refiere, y da cuenta de veinte muertes que una Doncella llamada Doña Teresa de Llanos, natural de la Ciudad de Sevilla, siendo las primeras a dos hermanos suyos, por averle estorvado el casarse. Y tambien se declara como se vistió de hombre, y fué presa, y sentenciada a muerte, y se vió libre por averse descubierto que era muger y el dichoso fin que tuvo;Xacara nueva;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_002.xml
31;Ner_BCN_002;Almagro;Almagro;38,888238;-3,7118218;Q752280;Pueblos/ciudades/regiones;Xacara nueva, en que se refiere, y da cuenta de veinte muertes que una Doncella llamada Doña Teresa de Llanos, natural de la Ciudad de Sevilla, siendo las primeras a dos hermanos suyos, por averle estorvado el casarse. Y tambien se declara como se vistió de hombre, y fué presa, y sentenciada a muerte, y se vió libre por averse descubierto que era muger y el dichoso fin que tuvo;Xacara nueva;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_002.xml
32;Ner_BCN_002;Villa Manrique;Villamanrique de la Condesa;37,24638889;-6,306388889;Q1601699;Pueblos/ciudades/regiones;Xacara nueva, en que se refiere, y da cuenta de veinte muertes que una Doncella llamada Doña Teresa de Llanos, natural de la Ciudad de Sevilla, siendo las primeras a dos hermanos suyos, por averle estorvado el casarse. Y tambien se declara como se vistió de hombre, y fué presa, y sentenciada a muerte, y se vió libre por averse descubierto que era muger y el dichoso fin que tuvo;Xacara nueva;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_002.xml
33;Ner_BCN_002;Santa Ana;Santa Ana;39,3089877;-5,9901745;Q610025;Pueblos/ciudades/regiones;Xacara nueva, en que se refiere, y da cuenta de veinte muertes que una Doncella llamada Doña Teresa de Llanos, natural de la Ciudad de Sevilla, siendo las primeras a dos hermanos suyos, por averle estorvado el casarse. Y tambien se declara como se vistió de hombre, y fué presa, y sentenciada a muerte, y se vió libre por averse descubierto que era muger y el dichoso fin que tuvo;Xacara nueva;Barcelona;Herederos de Juan Jolis;[s.a.];Jácaras;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_002.xml
34;Ner_BCN_003;Toledo;Toledo;39,86666667;-4,033333333;Q5836;Pueblos/ciudades/regiones;"Nuevo romance, en que se da cuenta del mas lastimoso caso, que ha sucedido en la Imperial Ciudad de Toledo, entre dos Amantes, que despues de muchos enredos murieron entrambos; contodo lo demas que verá el curioso Letor";Nuevo romance;Barcelona;Herederos de Juan Jolis;[s.a.];Romances;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_003.xml
35;Ner_BCN_003;Toledo;Toledo;39,86666667;-4,033333333;Q5836;Pueblos/ciudades/regiones;"Nuevo romance, en que se da cuenta del mas lastimoso caso, que ha sucedido en la Imperial Ciudad de Toledo, entre dos Amantes, que despues de muchos enredos murieron entrambos; contodo lo demas que verá el curioso Letor";Nuevo romance;Barcelona;Herederos de Juan Jolis;[s.a.];Romances;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_003.xml
36;Ner_BCN_003;España;España;40,2;-3,5;Q29;Países/reinos/imperios/continentes;"Nuevo romance, en que se da cuenta del mas lastimoso caso, que ha sucedido en la Imperial Ciudad de Toledo, entre dos Amantes, que despues de muchos enredos murieron entrambos; contodo lo demas que verá el curioso Letor";Nuevo romance;Barcelona;Herederos de Juan Jolis;[s.a.];Romances;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_003.xml
37;Ner_BCN_003;Toledo;Toledo;39,86666667;-4,033333333;Q5836;Pueblos/ciudades/regiones;"Nuevo romance, en que se da cuenta del mas lastimoso caso, que ha sucedido en la Imperial Ciudad de Toledo, entre dos Amantes, que despues de muchos enredos murieron entrambos; contodo lo demas que verá el curioso Letor";Nuevo romance;Barcelona;Herederos de Juan Jolis;[s.a.];Romances;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_003.xml
38;Ner_BCN_003;Toledo;Toledo;39,86666667;-4,033333333;Q5836;Pueblos/ciudades/regiones;"Nuevo romance, en que se da cuenta del mas lastimoso caso, que ha sucedido en la Imperial Ciudad de Toledo, entre dos Amantes, que despues de muchos enredos murieron entrambos; contodo lo demas que verá el curioso Letor";Nuevo romance;Barcelona;Herederos de Juan Jolis;[s.a.];Romances;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_003.xml
39;Ner_BCN_004;Argél;Argel;36,77638889;3,058611111;Q3561;Pueblos/ciudades/regiones;Blas de leon, verdadera relacion de un rigurosa castigo que ejecutaron los Moros de Argél con un Cautivo natural de la villa de Ontiveros: dase cuenta como fué clavado en diez escarpias, donde estuvo tres dias vivo, predicando la fé de Jesucristo, con lo demas que verá el curioso ;Blas de leon;Barcelona;Herederos de Juan Jolis;[s.a.];Romances;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_004.xml
41;Ner_BCN_004;Peñaranda;Peñaranda de Bracamonte;40,9017322;-5,1979686;Q679766;Pueblos/ciudades/regiones;Blas de leon, verdadera relacion de un rigurosa castigo que ejecutaron los Moros de Argél con un Cautivo natural de la villa de Ontiveros: dase cuenta como fué clavado en diez escarpias, donde estuvo tres dias vivo, predicando la fé de Jesucristo, con lo demas que verá el curioso ;Blas de leon;Barcelona;Herederos de Juan Jolis;[s.a.];Romances;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_004.xml
43;Ner_BCN_004;Málaga;Málaga;36,71666667;-4,416666667;Q8851;Pueblos/ciudades/regiones;Blas de leon, verdadera relacion de un rigurosa castigo que ejecutaron los Moros de Argél con un Cautivo natural de la villa de Ontiveros: dase cuenta como fué clavado en diez escarpias, donde estuvo tres dias vivo, predicando la fé de Jesucristo, con lo demas que verá el curioso ;Blas de leon;Barcelona;Herederos de Juan Jolis;[s.a.];Romances;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_004.xml
44;Ner_BCN_004;Roma;Roma;41,89305556;12,48277778;Q220;Pueblos/ciudades/regiones;Blas de leon, verdadera relacion de un rigurosa castigo que ejecutaron los Moros de Argél con un Cautivo natural de la villa de Ontiveros: dase cuenta como fué clavado en diez escarpias, donde estuvo tres dias vivo, predicando la fé de Jesucristo, con lo demas que verá el curioso ;Blas de leon;Barcelona;Herederos de Juan Jolis;[s.a.];Romances;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_004.xml
45;Ner_BCN_004;Argel;Argel;36,77638889;3,058611111;Q3561;Pueblos/ciudades/regiones;Blas de leon, verdadera relacion de un rigurosa castigo que ejecutaron los Moros de Argél con un Cautivo natural de la villa de Ontiveros: dase cuenta como fué clavado en diez escarpias, donde estuvo tres dias vivo, predicando la fé de Jesucristo, con lo demas que verá el curioso ;Blas de leon;Barcelona;Herederos de Juan Jolis;[s.a.];Romances;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_004.xml
46;Ner_BCN_004;Argel;Argel;36,77638889;3,058611111;Q3561;Pueblos/ciudades/regiones;Blas de leon, verdadera relacion de un rigurosa castigo que ejecutaron los Moros de Argél con un Cautivo natural de la villa de Ontiveros: dase cuenta como fué clavado en diez escarpias, donde estuvo tres dias vivo, predicando la fé de Jesucristo, con lo demas que verá el curioso ;Blas de leon;Barcelona;Herederos de Juan Jolis;[s.a.];Romances;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_004.xml
47;Ner_BCN_004;Tabor;Monte Tabor;32,68625;35,39291667;Q193785;Sitios naturales;Blas de leon, verdadera relacion de un rigurosa castigo que ejecutaron los Moros de Argél con un Cautivo natural de la villa de Ontiveros: dase cuenta como fué clavado en diez escarpias, donde estuvo tres dias vivo, predicando la fé de Jesucristo, con lo demas que verá el curioso ;Blas de leon;Barcelona;Herederos de Juan Jolis;[s.a.];Romances;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_004.xml
40;Ner_BCN_004;Ontiveros;Inclasificable;;;Inclasificables;Inclasificables;Blas de leon, verdadera relacion de un rigurosa castigo que ejecutaron los Moros de Argél con un Cautivo natural de la villa de Ontiveros: dase cuenta como fué clavado en diez escarpias, donde estuvo tres dias vivo, predicando la fé de Jesucristo, con lo demas que verá el curioso ;Blas de leon;Barcelona;Herederos de Juan Jolis;[s.a.];Romances;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_004.xml
42;Ner_BCN_004;Ontiveros;Inclasificable;;;Inclasificables;Inclasificables;Blas de leon, verdadera relacion de un rigurosa castigo que ejecutaron los Moros de Argél con un Cautivo natural de la villa de Ontiveros: dase cuenta como fué clavado en diez escarpias, donde estuvo tres dias vivo, predicando la fé de Jesucristo, con lo demas que verá el curioso ;Blas de leon;Barcelona;Herederos de Juan Jolis;[s.a.];Romances;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_004.xml
48;Ner_BCN_005;Barcelona;Barcelona;41,3825;2,176944444;Q1492;Pueblos/ciudades/regiones;Romance famoso que hizo un forsado llamado Francisco Marcos, vezino de la muy Ilustre Ciudad de Barcelona, al despedirse, nombrando las particularidades de ella ;Romance famoso que hizo un forsado;Barcelona;Herederos de Juan Jolis;[s.a.];Romances;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_005.xml
49;Ner_BCN_005;Barcelona;Barcelona;41,3825;2,176944444;Q1492;Pueblos/ciudades/regiones;Romance famoso que hizo un forsado llamado Francisco Marcos, vezino de la muy Ilustre Ciudad de Barcelona, al despedirse, nombrando las particularidades de ella ;Romance famoso que hizo un forsado;Barcelona;Herederos de Juan Jolis;[s.a.];Romances;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_005.xml
50;Ner_BCN_005;Barcelona;Barcelona;41,3825;2,176944444;Q1492;Pueblos/ciudades/regiones;Romance famoso que hizo un forsado llamado Francisco Marcos, vezino de la muy Ilustre Ciudad de Barcelona, al despedirse, nombrando las particularidades de ella ;Romance famoso que hizo un forsado;Barcelona;Herederos de Juan Jolis;[s.a.];Romances;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_005.xml
51;Ner_BCN_005;Monserrate;Macizo de Montserrat;41,60527778;1,809166667;Q732115;Sitios naturales;Romance famoso que hizo un forsado llamado Francisco Marcos, vezino de la muy Ilustre Ciudad de Barcelona, al despedirse, nombrando las particularidades de ella ;Romance famoso que hizo un forsado;Barcelona;Herederos de Juan Jolis;[s.a.];Romances;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_005.xml
52;Ner_BCN_005;España;España;40,2;-3,5;Q29;Países/reinos/imperios/continentes;Romance famoso que hizo un forsado llamado Francisco Marcos, vezino de la muy Ilustre Ciudad de Barcelona, al despedirse, nombrando las particularidades de ella ;Romance famoso que hizo un forsado;Barcelona;Herederos de Juan Jolis;[s.a.];Romances;Profano;https://desenrollandoelcordel.unige.ch/Pliegos/BCN_005.xml
